ENTITY,IN,OUT,CAUSE_OUT,BIN,SECTOR,EMP,REV,CAP
Arquati,Nov-02,Nov-05,"22 novembre 05, amm straord",0,produzione tende,600,200,
Chl,Nov-02,Jun-07,miglioramento posiz patrim,1,commercio elettronico,80,120,10
Cirio Finanziaria,Nov-02,Aug-04,amm straordinaria,0,alimentare,19000,890,
Gandalf,Nov-02,Mar-04,"29 marzo 04, fallimento",0,compagnia aerea,130,20,
Necchi (partecipazioni italiane),Nov-02,Aug-02,"26 agosto 2002, irregolarità negli scambi",,vendita macchine da cucire,50,19,35
SS Lazio,nov-02 ;  giu-06,Aug-09,miglioramento posiz patrim,1,calcio,150,77,40
Olcese,Nov-02,Dec-05,"20 dicembre 2005, amm straord",0,tessile abbigliamento,1600,120,
Opengate,Nov-02,Dec-03,"9 dicembre 2003, istanza di fallimento",0,information tecnology,1000,1000,
Snai,Nov-02,Sep-04,miglioramento posiz patrim,1,scommesse sportive,200,513,110
Cto,2003,Dec-04,"15 dicembre 04, fallimento della società",0,distribuzione videogiochi,200,60,
Stayer,Apr-03,Apr-04,"19 aprile 2004, fallimento società",0,produzione utensili elettrici,130,25,10
Finpart,May-03,Jan-06,"11 gennaio 06, fallimento",0,lusso e moda,900,400,
Tecnodiffusione,May-03,Jul-05,"29 luglio 2005, no requisiti quotaz",,information tecnology,500,186,18
Giacomelli sport group,Jul-03,May-04,"21 maggio 04, amministrazione straord",0,negozi di articoli sportivi,2000,312,50
A.S. Roma ,Oct-03,Aug-09,miglioramento posiz patrim,1,calcio,150,140,80
Centenari e Zinelli,2004,ora investimenti e sviluppo,poi investim e sviluppo,,holding settore tessile e plastico,75,1,35
Finarte-Semenzato,2004,Aug-11,procedimento fall,0,casa d'aste,60,10,
Gim (Kme) intek,2004,Nov-06,"2 aprile 07, incorporata in intek 2005",,industrie metallurgiche,7000,2000,365
Smi (Kme) intek,2004,Nov-06,fusa in intek e aumento di capitale,,industrie metallurgiche,7000,2000,365
Alitalia,Jun-04,Mar-09,impossibile mantenere un mkt regolare,,compagnia aerea,13000,3200,600
Elios holding (innotech),Jun-04,poi cornell poi yorkville,oggi in yorkville bhn,,Fotovoltaico,60,30,
